0x0001	 [X]
0x0003	broke!
0x0004	is gone.
0x0005	Got 
0x0006	gold.[X]
0x0007	gold was stolen.
0x0008	Got 
0x0009	was pilfered.[X]
0x000A	Stole 
0x000B	was stolen.[X]
0x000C	Support Lv. increased.
0x000D	You can now use 
0x000E	You can now use 
0x000F	Dropped 
0x0010	Sent [X]
0x0011	.[X]
0x0012	The village was destroyed.
0x0013	Strength increased.[X]
0x0014	Magic increased.
0x0015	Skill increased.
0x0016	Speed increased.
0x0017	Luck increased.[X]
0x0018	Defense increased.
0x0019	Resistance increased.[X]
0x001A	Movement increased.[X]
0x001B	Constitution increased.[X]
0x001C	Max HP increased.[X]
0x001D	Maturity increased.[X]
0x001E	Level lost.[X]
0x001F	Level lost.[X]
0x0020	Disabled trap.
0x0021	Recovered mine.[X]
0x0022	.[X]
0x0023	Change
0x0024	Cancel
0x0025	Dummy[X]
0x0026	 Release Entry
0x0027	 Continue Chp.
0x0028	 Manual Cont.[X]
0x0029	 Initialize File
0x002A	 World Map
0x002B	Viwer Map[X]
0x002C	Viewr Face
0x002D	Viewr BG
0x002E	  MODE  Tutorial
0x002F	  MODE  Normal
0x0030	  MODE  Hard
0x0031	  BASE  Capture[X]
0x0032	  BASE  Devil A[X]
0x0033	  BASE  Devil B[X]
0x0034	  BASE  Devil C[X]
0x0035	N/A[X]
0x0036	At
0x0037	Mov[X]
0x0038	Cure
0x0039	Status
0x003A	blanket100
0x003B	blanket80[X]
0x003C	blanket50[X]
0x003D	move off100[X]
0x003E	move off80
0x003F	move off50
0x0040	none
0x0041	Natasha off[X]
0x0042	Lead
0x0043	11b citizen off[X]
0x0044	Lyn[X]
0x0045	Roy[X]
0x0046	gate keeper[X]
0x0047	leader
0x0048	cure
0x0049	cure move off[X]
0x004A	steal[X]
0x004B	door Open[X]
0x004C	Ruthea off
0x004D	Leyvan off
0x004E	Demon King
0x004F	near
0x0050	near Clarine
0x0051	Douglas[X]
0x0052	none
0x0053	loot
0x0054	loot abscise
0x0055	2[X]
0x0056	2 Clarine[X]
0x0057	circuit[X]
0x0058	random
0x0059	to Eirika[X]
0x005A	to Ephraim
0x005B	abscise[X]
0x005C	to bases
0x005D	break wall
0x005E	ignore near[X]
0x005F	area
0x0060	1T loot wait
0x0061	1T near wait
0x0062	bear
0x0063	normal
0x0064	strong
0x0065	very bear[X]
0x0066	vert strong[X]
0x0067	fine
0x0068	poison
0x0069	sleep[X]
0x006A	close[X]
0x006B	angry[X]
0x006C	Dance Attack
0x006D	Dance Defence[X]
0x006E	Dance Skill[X]
0x006F	Dance Avoid[X]
0x0070	sick
0x0071	recover[X]
0x0072	stone[X]
0x0073	shield
0x0074	stone counterattack[X]
0x0075	1/4[X]
0x0076	2/4[X]
0x0077	3/4[X]
0x0078	4/4[X]
0x0079	Pos[X]
0x007A	Total S[X]
0x007B	Total P[X]
0x007C	CP Attack[X]
0x007D	CP Move[X]
0x007E	Counter[X]
0x007F	Trust Level[X]
0x0080	Support[X]
0x0081	CritAvo[X]
0x0082	SRAM info[X]
0x0083	Vct[X]
0x0084	Dft[X]
0x0085	Adv[X]
0x0086	E.D.
0x0087	Pick
0x0088	x[X]
0x0089	Exp[X]
0x008A	Favorite
0x008B	This unit has no SRAM information[X]
0x008C	mastery levels
0x008D	TURN
0x008E	2-CP
0x008F	3-CP
0x0090	Animation[X]
0x0091	Terrain[X]
0x0092	Unit
0x0093	Combat
0x0094	Subtitle Help[X]
0x0095	Autocursor
0x0096	Text Speed
0x0097	Game Speed
0x0098	Music[X]
0x0099	Sound Effects[X]
0x009A	Window Color
0x009B	CPU Level[X]
0x009C	Autoend Turns[X]
0x009D	Unit Color
0x009E	Show Objective
0x009F	Controller
0x00A0	Rank Display
0x00A1	Show animation without backgrounds
0x00A2	Show animation with backgrounds[X]
0x00A3	Turn combat animation off[X]
0x00A4	Set animation for each unit manually
0x00A5	Set unit movement speed[X]
0x00A6	Set unit movement speed (fast)
0x00A7	Set message speed (slow)
0x00A8	Set message speed[X]
0x00A9	Set message speed (fast)
0x00AA	Set message speed (autoscroll)
0x00AB	Turn Terrain window on or off[X]
0x00AC	Show normal unit window[X]
0x00AD	Show unit window with tail
0x00AE	Turn unit window off
0x00AF	Show basic Combat Info window[X]
0x00B0	Show detailed Combat Info window
0x00B1	Turn Combat Info window off[X]
0x00B2	Set Easy/Help Scroll display
0x00B3	Set cursor to start on main hero
0x00B4	Set turn to end automatically[X]
0x00B5	Turn music on or off
0x00B6	Turn sound effects on or off
0x00B7	Change window color[X]
0x00B8	Set enemy AI
0x00B9	Set colors for individual units[X]
0x00BA	Turn Chapter Goal display on or off[X]
0x00BB	Set Control Window display
0x00BC	Rank Display
0x00BD	ON
0x00BE	OFF[X]
0x00BF	1[X]
0x00C0	2[X]
0x00C1	3[X]
0x00C2	4[X]
0x00C3	Slow
0x00C4	Norm
0x00C5	Fast
0x00C6	Max[X]
0x00C7	Solo
0x00C8	Strat[X]
0x00C9	Detail
0x00CA	Panel[X]
0x00CB	Burst[X]
0x00CC	NO DATA[X]
0x0140	Erase[X]
0x0141	Back
0x0142	Cancel
0x0143	Start[X]
0x0144	Copy
0x0145	Save
0x0146	Entry[X]
0x0147	Base
0x0148	LV
0x014C	0[X]
0x014D	1[X]
0x014E	2[X]
0x014F	3[X]
0x0150	4[X]
0x0151	5[X]
0x0152	6[X]
0x0153	7[X]
0x0154	8[X]
0x0155	9[X]
0x0156	N/A[X]
0x0157	Ch.[X]
0x0158	x[X]
0x0159	Final[X]
0x015A	Prologue
0x015B	Side
0x015C	Alter[X]
0x015D	Turns[X]
0x015E	 [X]
0x015F	Total Turns[X]
0x017C	Scorched Sand[X]
0x017E	River of Regrets
0x017F	Two Faces of Evil[X]
0x0180	Last Hope[X]
0x0181	Darkling Woods
0x0182	Sacred Stone
0x0183	Sacred Stone
0x0185	Tower of Valni 2
0x018C	Tower of Valni 9
0x018D	Tower of Valni 10[X]
0x0191	Lagdou Ruins 4
0x0192	Lagdou Ruins 5
0x0193	Lagdou Ruins 6
0x0194	Lagdou Ruins 7
0x0195	Lagdou Ruins 8
0x0196	Lagdou Ruins 9
0x0197	Lagdou Ruins 10[X]
0x0198	Castle Frelia[X]
0x0199	Melkaen Coast[X]
0x019A	Creeping Darkness[X]
0x019B	Phantom Ship
0x019C	Survive[X]
0x019D	Defeat boss[X]
0x019E	Defeat Ghirken
0x01A0	Seize gate
0x01A1	Seize throne
0x01B3	Defeat Borst
0x01B5	Escort
0x01B6	Rout
0x01BA	Defeat Cruller
0x01BC	Save Villagers[X]
0x01C1	Left
0x01C2	Turn
0x01C3	Last Turn[X]
0x01C4	[7F][7F]
0x01C5	Plain[X]
0x01C6	Road
0x01C7	Village[X]
0x01C8	Village[X]
0x01C9	House[X]
0x01CA	Armory
0x01CB	Vendor
0x01CC	Arena[X]
0x01CD	C.Room
0x01CE	Fort
0x01CF	Gate
0x01D0	Forest
0x01D1	Thicket[X]
0x01D2	Sand
0x01D3	Desert
0x01D4	River[X]
0x01D5	Mntn
0x01D6	Peak
0x01D7	Bridge
0x01D8	Bridge
0x01D9	Sea[X]
0x01DA	Lake
0x01DB	Floor[X]
0x01DC	Floor[X]
0x01DD	Fence[X]
0x01DE	Wall
0x01DF	Wall
0x01E0	Rubble
0x01E1	Pillar
0x01E2	Door
0x01E3	Throne
0x01E4	Chest[X]
0x01E5	Chest[X]
0x01E6	Roof
0x01E7	Gate
0x01E8	Church
0x01E9	Ruins[X]
0x01EA	Cliff[X]
0x01EB	Ballista
0x01EC	Long B
0x01ED	Killer B
0x01EE	Flat
0x01EF	Wreck[X]
0x01F0	[7F][7F]
0x01F1	Stairs
0x01F2	[7F][7F]
0x01F3	Glacier[X]
0x01F4	Arena[X]
0x01F5	Valley
0x01F6	Fence[X]
0x01F7	Snag
0x01F8	Bridge
0x01F9	Sky[X]
0x01FA	Deeps[X]
0x01FB	Ruins[X]
0x01FC	Inn[X]
0x01FD	Barrel
0x01FE	Bone
0x01FF	Dark
0x0200	Water[X]
0x0201	Gunnels[X]
0x0202	Deck
0x0203	Brace[X]
0x0204	Mast
0x0205	Current[X]
0x0206	Record
0x0207	# Cleared
0x0208	Monsters
0x0209	Exp[X]
0x020A	Units Used
0x020B	Turns[X]
0x020C	Time
0x020D	:[X]
0x020E	1 year ago
0x020F	1 1/2 years ago[X]
0x0210	2 years ago[X]
0x0211	3 years ago[X]
0x0212	Storch
0x0216	Lera
0x0218	Marlen
0x0219	Larisa
0x021B	Onisim
0x021C	Dewi
0x0220	Waluyo
0x0221	Ruslan
0x0222	Zoya
0x0225	Tien
0x0227	Naia
0x0228	Vernon
0x022A	Freyja
0x022C	Nate
0x022E	Kusuma[X]
0x0235	Morva[X]
0x0236	Zard
0x0239	Cutter
0x023C	Stoise
0x023E	Garrison
0x023F	Gelt
0x0240	Gradin
0x0241	Orland
0x0245	Deni
0x0246	Stroganoff
0x0247	Reisma
0x0248	Wellington[X]
0x0249	Turken
0x024C	Festan[X]
0x024D	Supply
0x024F	Lesley
